id,adult_count,child_count,rooms_in_hh,years_in_community,primary_dw_source,daily_hh_water_cost_for_pay_to_fetch,water_storage_drinking_water,coli_mpn,tc_mpn,tap_closure_days_per_week,estimated_storage_capacity_liters,total_people,people_per_room,consumption_risk_score,water_access_score,estimated_non_dw_storage_capacity,estimated_stored_non_dw,avg_price_per_liter_cedis,Leak_Alert
45.0,2.0,4.0,1.0,25.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,6.416098842730782,7.932450687890483,60.0,60.0,0.08040615759132325,0.0
46.0,2.0,3.0,1.0,19.0,1,4.0,1.0,13.444730972413595,100.0,3.0,6057.0,5.0,4.545454545454545,4.438971281175828,3.5844497251315497,0.0,0.0,0.08040615759132325,0.0
47.0,7.0,2.0,1.0,0.0,1,14.0,0.0,13.444730972413595,100.0,3.0,6057.0,9.0,8.181818181818182,11.834310559154602,19.26588368203049,0.0,0.0,0.08040615759132325,0.0
48.0,10.0,0.0,0.0,3.0,1,21.0,0.0,13.444730972413595,100.0,3.0,6057.0,10.0,100.0,41.031393311257595,23.43797770419198,20.0,0.0,0.08040615759132325,0.0
49.0,7.0,7.0,1.0,0.0,1,15.0,0.0,13.444730972413595,100.0,3.0,6057.0,14.0,12.727272727272727,14.958262170033855,18.466934506173455,0.0,0.0,0.08040615759132325,0.0
50.0,3.0,1.0,1.0,28.0,1,13.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,3.6363636363636362,7.9338489167826935,17.476466086245342,0.0,0.0,0.08040615759132325,0.0
51.0,1.0,0.0,1.0,4.0,1,4.0,0.0,13.444730972413595,100.0,3.0,6057.0,1.0,0.9090909090909091,3.454092278404532,9.271216685590865,0.0,0.0,0.08040615759132325,0.0
52.0,6.0,0.0,1.0,20.0,1,24.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,13.744048896549813,32.358950867287255,350.0,0.0,0.08040615759132325,1.0
53.0,3.0,3.0,1.0,40.0,1,15.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,5.454545454545454,9.442368719467368,18.020016943679106,0.0,0.0,0.08040615759132325,0.0
54.0,2.0,1.0,1.0,9.0,1,8.0,0.0,13.444730972413595,100.0,3.0,6057.0,3.0,2.727272727272727,2.9351310213703083,3.0564973439616323,100.0,0.0,0.08040615759132325,0.0
55.0,4.0,3.0,1.0,8.0,1,51.0,0.0,13.444730972413595,100.0,3.0,6057.0,7.0,6.363636363636363,24.895066550063973,67.28658546991022,0.0,0.0,0.08040615759132325,0.0
56.0,4.0,4.0,1.0,1.0,1,18.0,0.0,13.444730972413595,100.0,3.0,6057.0,8.0,7.2727272727272725,12.89784425455948,25.05342024247099,200.0,200.0,0.08040615759132325,1.0
57.0,6.0,0.0,0.0,30.0,1,52.0,0.0,13.444730972413595,100.0,3.0,6057.0,6.0,60.0,42.73483817799004,74.44946059330016,0.0,0.0,0.08040615759132325,0.0
58.0,8.0,0.0,1.0,10.0,1,36.0,0.0,13.444730972413595,100.0,3.0,6057.0,8.0,7.2727272727272725,19.78115408448621,47.99778634222676,0.0,0.0,0.08040615759132325,0.0
59.0,13.0,7.0,1.0,10.0,1,93.0,0.0,13.444730972413595,100.0,3.0,6057.0,20.0,18.18181818181818,46.42536092006654,109.90271821840362,0.0,0.0,0.08040615759132325,0.0
60.0,2.0,0.0,1.0,9.0,1,10.0,0.0,13.444730972413595,100.0,3.0,6057.0,2.0,1.8181818181818181,7.521595583307331,20.587136792842617,250.0,200.0,0.08040615759132325,1.0
61.0,2.0,2.0,0.0,30.0,1,12.0,0.0,13.444730972413595,100.0,3.0,6057.0,4.0,40.0,19.05656257583913,18.18854191946377,150.0,150.0,0.08040615759132325,1.0
